thetaE_s0,mass_s0,z_s0,re_s0,q_s0,pa_s0,x_s0,y_s0,mag_g_s0,mag_r_s0,mag_i_s0,mag_z_s0,vdisp_l,re_l,q_l,z_l,mag_g_l,mag_r_l,mag_i_l,mag_z_l,SNR_g,SNR_r,SNR_i,SNR_z,SNR_stack,best_band,mu,if_ring,if_obs_stack,if_obs_single,noise_seed
0.4265831812712795,65519251273.02334,2.1712,0.1852567525757788,0.7850626724323357,121.23171975010607,-0.020259794967345444,0.21694031310144743,24.6963,24.7744,24.8496,24.7972,169.5535272031944,0.3304793672209101,0.7803635803832769,0.7434207201745658,26.140655520713217,23.93399551686964,22.4319406027012,21.650047604095075,72.62716581770654,53.55920772993511,40.546264035838924,28.03213803006734,97.48033237295323,g,4.414651375200909,True,True,True,2
0.6737242116896833,225425922810.03476,2.8679,0.07115622436392656,0.5104904981240695,73.09287008778671,0.04987904450560957,-0.016890137784253897,27.3055,27.2253,27.2907,27.3552,236.09445895240995,0.3995698680382699,0.6691918868595742,1.1335713500509839,27.554636133699994,24.909764844071955,23.398238187036547,22.08687551268433,28.46855829646806,24.014050105909753,18.425426983870796,11.282628249676668,41.35624626637772,g,15.692872138083354,True,True,True,18
0.9180573280184433,237457143288.96533,2.8292,0.031756159786271804,0.4595443252892295,144.46321501191275,0.04697346889593269,-0.31110273571995756,27.7111,27.7001,27.7449,27.7951,226.40444879328192,0.5113591264739957,0.5494530236544313,0.6454168081463387,23.82791391685969,21.891724860651884,20.451703575764125,19.844858166458827,20.631510407770527,16.228946398047896,12.257011362760093,7.424902919024476,28.275330770108837,g,10.996472919282247,True,True,True,23
0.4245056828829603,67777488856.22351,3.0435,0.10059236317280791,0.6745942327066254,102.81995561757542,-0.1274330156718654,-0.0009708084271746528,26.1995,26.1637,26.1829,26.194,167.58906612272986,0.3087787596356666,0.7534318002432129,0.8965773765666711,27.43687743181549,24.650453936405253,23.416712323004653,22.16687375654136,36.01499778288133,29.214362420702695,23.336992178930082,14.837573768405644,51.84957202737703,g,6.44783194622342,True,True,True,32
0.3562273863837495,46664962463.0609,0.6575,0.08080604170170949,0.6992030620436491,111.77221326976164,-0.10765108460080834,0.0973054074851655,26.323,25.8458,25.28,25.1378,184.22487552917474,0.567410621584232,0.31375304738677157,0.3892815770376653,22.29835503549282,20.343250476442744,19.639461155052267,19.204280654102455,25.436685315148313,25.52792508101004,31.337724007449612,22.31906419089939,51.96875724473102,i,4.510812829414063,True,True,True,64
0.5547678742597206,151261804939.25232,1.2434,0.0960228373119923,0.8192368079954953,117.67227241671979,0.05330004752556874,0.45216885832235665,25.5282,25.4809,25.295,24.831,229.7971304649668,0.5798996555620489,0.6254699571004452,0.6814991923724869,24.186012792458232,22.222909345603455,20.68924482686852,20.04011608966314,45.76694669801377,37.881437802040764,35.49524559682569,34.689796750359235,76.6033764948182,g,3.3627894675687595,False,True,True,88
0.8831899599919615,281129307701.1613,0.9899,0.4836335292339826,0.623102397612056,34.04055576381429,-0.3009723218026188,0.16808977276455514,24.8637,24.3832,23.8515,23.352,267.6710124587376,0.9989211368606873,0.7037600727854239,0.49663089382473974,21.608631009108045,19.74838466259698,18.68954676731313,18.165975359959827,27.730598698631884,30.575439481292214,36.904622605598234,37.71571861264134,66.68173879344855,z,4.052705626694232,True,True,True,92
0.2944180306055113,62772326485.52274,1.5125,0.10203107259149113,0.5831679401981656,139.0834323772474,-0.09686174669599573,-0.00875719667521893,25.8356,25.8957,25.7777,25.6446,192.19316613266645,0.5466611901367885,0.5192919665450276,0.947614611471612,27.413329987801674,24.64356117344104,23.385532088398627,22.115108448385314,49.71121505720875,37.281623873331235,33.39172076891124,23.85545606590294,72.03764841351051,g,5.5300692461154926,True,True,True,118
1.2389521735645976,287218414109.1704,1.8508,0.08576433424730086,0.7481874292622877,19.8381917925363,0.4567770003388693,-0.03622230926009226,26.5084,26.6126,26.5985,26.5017,247.30493939826448,0.6733782591782173,0.622434784180913,0.3780962242011744,20.881781749486457,18.919978059744423,18.23657682669777,17.813832916868805,31.982926175566824,20.841804725810807,16.306694221468735,11.447213094065848,39.331045794449544,g,7.406240304235998,False,True,True,134
0.8365241912306889,164501520757.91977,1.8006,0.38326012388994846,0.9107191431406936,5.393897633766196,0.04016574743561419,-0.5866047899840797,25.0707,25.1262,25.1734,25.072,213.81693511266855,0.46033523645187135,0.5079533825051996,0.4680809222417911,22.414701994332614,20.51784717612675,19.568982319616662,19.065521555723205,26.514958240578185,19.176735436544327,14.738082621725686,10.80037004192806,35.37439515543851,g,3.605413637268505,True,True,True,146
0.3284289050539278,31907612158.114113,2.0786,0.05410290699216441,0.7608901992968164,132.046058518962,0.15605525658865055,-0.028659323573038704,26.7757,26.8474,26.9325,26.9115,140.49033415711727,0.47762021087336726,0.9319871437553531,0.6104113263859811,25.50123811764969,23.613832150715368,22.257270068332534,21.679190216147582,22.48214854225702,16.348597487943838,11.672294953050885,7.493744203428083,28.786335402959125,g,4.388547929143814,False,True,True,147
0.6705654385705008,388240002793.98126,1.5714,0.35254283524668895,0.3341246578953817,146.7599269656252,-0.0690443364797155,0.25019000155321564,24.5971,24.6695,24.4645,24.3533,312.85110616506506,0.763892631711369,0.8960652779145165,1.0508811393649076,25.828839569675832,22.940863462720166,21.695957028754922,20.26324105720284,49.37382027353924,35.93911964162051,35.143023727826986,24.920430909245205,72.37939617769423,g,4.148863045194721,False,True,True,161
