thetaE_s0,mass_s0,z_s0,re_s0,q_s0,pa_s0,x_s0,y_s0,mag_g_s0,mag_r_s0,mag_i_s0,mag_z_s0,SNR_g0,SNR_r0,SNR_i0,SNR_z0,SNR_stack0,best_band0,mu0,if_ring0,if_obs_stack0,if_obs_single0,thetaE_s1,mass_s1,z_s1,re_s1,q_s1,pa_s1,x_s1,y_s1,mag_g_s1,mag_r_s1,mag_i_s1,mag_z_s1,SNR_g1,SNR_r1,SNR_i1,SNR_z1,SNR_stack1,best_band1,mu1,if_ring1,if_obs_stack1,if_obs_single1,vdisp_l,re_l,q_l,z_l,mag_g_l,mag_r_l,mag_i_l,mag_z_l,noise_seed
0.6843842871622852,50108964087.123566,2.08,0.15240679343222277,0.6356645206315932,68.9642077010782,0.005235235022626565,-0.3403939196853783,24.7996,24.9041,24.7745,24.4944,36.91913091224486,23.912580398328362,21.025867863402553,18.054977468608715,48.95780988686642,g,6.891945817540591,True,True,True,0.551403966052087,40372466245.487724,0.7637,0.12778452529689827,0.7879153742698172,59.775320407659656,-0.3096757975584918,-0.012345242977013166,24.4707,24.2987,24.1641,24.2151,34.7253830527812,26.869263985478963,23.26139186509577,14.952097975249181,48.72439397259186,g,3.9290720790222466,True,True,True,168.77561828640452,0.5751352747915313,0.4084365682914125,0.21730317007747357,20.377181513308877,18.852403453340244,18.305332294635054,18.0208661328905,8
1.7875192754072462,950346681918.987,2.9349,0.26232416725931407,0.764523996416358,166.01404352002405,-0.8753406974563619,0.1424857776631906,24.2904,24.1249,24.1381,24.1394,25.26783772588794,23.10281579002501,18.519478699731074,12.189422627975654,39.604240716552404,g,4.349573043208526,False,True,True,1.9351809888546618,1028852028044.1373,4.0527,0.03214385525612639,0.7073081752494517,33.411392110728066,-0.24823379737370382,-0.021516001784303608,27.9018,27.172,27.1369,27.158,14.924484161502114,20.849391061756254,17.166514201801043,10.886799320520371,32.187006964398805,r,23.263576927172874,False,True,True,319.9118777720232,0.7941664204043364,0.8714373623922014,0.6917370873843481,22.565440181398507,20.581648597580564,19.03664203262737,18.36844900762127,12
1.4709927710758333,268920383523.00403,0.597,0.3363154870003198,0.43349792376702134,105.51416148030447,-0.0613083685629568,0.11615494527402986,25.8675,24.4842,23.6202,23.2805,8.451948824860665,17.7810361167322,29.43040332262041,26.78587271210723,43.066227383971075,i,11.84497586758909,True,True,True,1.4796103290573477,270495807306.8515,0.6047,0.020773986173257618,0.7599078153699865,15.884623637813933,-0.40199135990148177,-0.09423872083790473,26.3729,26.2855,26.2785,26.3495,25.51632364100874,17.894533119125818,13.172416922249514,7.832806502694913,31.7212821657886,g,7.19957770984533,False,True,True,281.0104948097166,1.9276397958378257,0.7847856367836893,0.19003975259293573,17.648415946277304,16.232417832173248,15.722346262531996,15.430714361152344,0
0.759908526163318,169668352057.17416,1.6334,0.07158339821786541,0.49464360030663634,121.64569744299855,-0.09454976918130482,0.30196818683328136,25.579,25.6787,25.6968,25.6549,26.16506761156069,18.98201114773602,14.813586017563726,10.086466187624826,35.027536568985525,g,6.29367283359205,False,True,True,0.7963688120018207,177809011624.4321,1.8098,0.41448059052061115,0.7122643434258578,113.45768743622496,0.4773937416866266,0.07963441656031084,22.9067,22.966,23.0278,22.9565,49.09193997264184,36.73729131977399,27.946170283062486,19.651816992123994,66.51494553170382,g,3.1247742413580055,True,True,True,218.1909610368234,0.6827559365244321,0.6685834765676408,0.5515558156221998,23.166067497688616,21.32539151158599,20.09101719710281,19.53908750544564,21
1.0552432178200555,283572982199.3451,2.3386,0.15405019693533337,0.5431036736655834,37.66491507182528,0.35239962395209085,0.5933694287708611,24.3819,24.3473,24.4804,24.3051,31.362398632340096,25.54788901744462,18.48327110350521,14.268653887074153,44.717665749883366,g,3.3994713214888796,False,True,True,1.1006809685164698,295783360102.5838,2.74,0.16493799968017123,0.6315143753949379,127.56204247634949,0.00022395957641064792,0.030986136784214358,25.7735,25.7219,25.7773,25.8251,32.28323836007387,26.50438497408654,20.393776299588282,12.837143927695411,46.0884927539375,g,20.041867533732958,False,True,True,239.68762880337056,0.44264256223550924,0.8970615846786156,0.548640899322193,22.768707316291657,20.92817687974311,19.70127959792555,19.15061377676128,7
1.180495215273344,282112253537.0941,2.3972,0.039262458421896844,0.6686927191747803,122.34782934820974,0.005782658915997059,0.7192284271114872,27.3667,27.2297,27.6149,27.1999,21.08101343511358,17.641431120539018,9.902459533837566,9.09251804693746,28.76306207595735,g,18.811865772758843,True,True,True,1.212489304965454,289758133525.5354,2.7501,0.01984416214831595,0.5548924685421175,52.84778334928067,0.3526518466833358,-0.0758820527848408,26.7023,26.7253,26.7553,26.8123,41.425428165838525,31.713929533238517,24.637936596908304,15.225032578222493,57.37915238124887,g,18.111097953774003,True,True,True,240.64135663572225,0.9043806642136761,0.416419035954429,0.4352202164997582,21.51100364686993,19.59469388831102,18.773011336151775,18.286808780810617,10
1.0809006318052368,373472036361.55896,2.234,0.013834667458625417,0.49604270362889025,88.59300831147996,-0.12465307044064343,-0.0765617439477478,27.5693,27.7083,27.8968,27.5611,20.116461886980325,13.586068437807235,8.738592784686547,7.077343858566044,25.138485771367954,g,12.901208364852172,True,True,True,1.2151202454067456,419847504130.2274,3.179,0.028737101173822503,0.5601653842997099,149.49486172795025,-0.14059027614573016,0.7813679625824502,26.4477,25.9961,26.0013,26.1765,18.92108151816548,20.97013702404339,17.396988778351506,10.182678279415681,34.17295936222099,r,4.057030039389308,False,True,True,259.20773377611454,0.6452654916941807,0.5271158178929476,0.6748765569066021,23.480759508024413,21.52593962596408,20.006769736796358,19.3657284282749,17
0.8935239181999005,96023162582.3312,2.6812,0.2673939917771861,0.945788698091189,151.63780464757826,-0.17851936251393646,-0.23610476764071414,23.8469,23.85,23.829,23.8992,43.03848728838747,30.15402794968903,24.129930605764113,15.172068305006784,55.07366005464848,g,5.791497110363373,True,True,True,0.305743627622877,32856949283.337627,0.3639,0.10814810252731327,0.8714005290700944,90.45165005081233,-0.06486524994014899,0.11500064937248636,24.6795,23.7715,23.4981,23.3382,31.75953077683674,39.687894144778845,37.250744354588484,28.659121210773005,68.18286141123698,r,4.870918799185655,True,True,True,193.1001602426131,0.8012863648451598,0.5772022711245047,0.2530963621080553,20.39693111390317,18.765424243826942,18.18510158387585,17.891254120996763,5
1.0019945143673332,185406637693.53232,0.9959,0.03710395297724972,0.5755035949655194,33.90841738356844,-0.2355299073420872,0.40295736971564927,25.6515,25.6172,25.2207,24.7874,26.808039373238262,19.90084040170551,21.082543144858704,19.651027174583714,43.06844333708557,g,3.8205209446941497,False,True,True,1.258329607481704,232838262373.83545,2.4373,0.02478206164388183,0.6730180057920406,39.62465233924016,-0.24342760857478682,-0.0004627240807722611,26.9317,26.9879,27.2505,27.1876,49.08166816098982,34.384981535964286,21.270293202703396,14.341925926932586,60.02089138445145,g,36.119532985830766,True,True,True,235.65506773622394,0.7896833721015027,0.6811676887382188,0.3105702485607902,20.174410563471476,18.34224395956676,17.704748199372283,17.364584544055386,5
2.4976289076158245,889068044603.8425,2.2646,0.03795582114175488,0.8523172767127254,17.698445242209996,-0.05949650665472834,-0.6131726525484732,27.2675,27.4273,27.629,27.5673,21.9559108396718,13.014175003169173,8.155632319719798,5.496097944569255,23.602943716230733,g,23.681319723245302,True,True,True,2.0392288086002766,725893732184.8702,1.0012,0.4151885412938297,0.8015585972584631,139.02148656794012,-0.25672949872434975,-1.3894571802048166,24.154,23.8739,23.3813,22.8259,17.17915787233866,15.705493847252184,19.24101212126353,21.043056225961877,36.54796230648373,z,3.7026330026422136,False,True,True,331.8709934705519,1.400501568913543,0.6412272457329515,0.2971235858660486,18.387715853846597,16.61377525892059,15.983785148434425,15.658203240177123,22
